"","trial","N.pop","skew","lb.tdist","ub.tdist","cover.tdist","width.tdist","lb.bca.exp","ub.bca.exp","cover.bca.exp","width.bca.exp","median.posterior.mu","lb.bayes.sdprior20","ub.bayes.sdprior20","width.bayes.sdprior20","cover.bayes.sdprior20","median.posterior.sig","median.posterior.gam"
"206",6,10,0.5,61.1316753201009,71.7385570953803,1,10.6068817752794,62.0055650732451,72.4744778482905,1,10.4689127750454,71.1628489939326,62.3418068870189,81.9476345273077,19.6058276402888,1,16.0369216015528,0.343397589812751
"207",7,10,0.5,60.1069577090811,74.7527254785329,1,14.6457677694518,60.6405190042402,74.667602545393,1,14.0270835411528,71.0558915838196,61.6786309393652,79.8657915565979,18.1871606172327,1,13.1661601010623,0.271945600051165
"208",8,10,0.5,59.1786762712417,78.4982090407155,1,19.3195327694738,59.9298427000894,79.3854737476892,1,19.4556310475999,70.3788842892645,62.6399618032325,78.5351268485795,15.895165045347,1,12.6690778980097,0.605020605451526
"209",9,10,0.5,62.0242657374759,80.0404516372755,1,18.0161858997996,59.367358913517,78.9086807139948,1,19.5413218004778,70.4449156647073,58.0833839023399,84.0006090783575,25.9172251760176,1,19.6405495175212,0.290750392409675
"210",10,10,0.5,60.773773795288,81.95267825308,1,21.178904457792,61.4266785146918,82.8840062259503,1,21.4573277112585,69.9881630011516,57.3987708274029,88.4590657656316,31.0602949382286,1,21.615516182781,0.328071431783115
"211",11,10,0.5,67.2377091832587,82.5132369810806,1,15.2755277978218,66.6991944410784,81.5464988111508,1,14.8473043700724,69.997968577544,58.8583593336442,78.3384419842477,19.4800826506035,1,12.3585362388126,0.4611225203554
"212",12,10,0.5,58.945190521089,77.2323348232309,1,18.2871443021419,59.867529530629,77.0527712251839,1,17.1852416945548,70.5532976480561,63.2591015996032,78.3938887544259,15.1347871548226,1,13.2846006808102,0.441220622592276
"213",13,10,0.5,60.0480649056551,75.9422956808684,1,15.8942307752133,61.0570916620259,76.951766025317,1,15.8946743632911,70.0785867584293,63.6235769953504,79.075604337934,15.4520273425836,1,11.321560006593,0.476611743349656
"214",14,10,0.5,57.6303961074364,65.2525986669928,0,7.62220255955648,57.3404319995769,64.924546493368,0,7.58411449379116,71.3954877868928,63.9242822712772,81.4761114743255,17.5518292030484,1,13.3183518831725,0.579638679934503
"215",15,10,0.5,62.030019231236,76.1058102613058,1,14.0757910300698,61.6225657841626,74.5879754842806,1,12.9654097001179,70.3688121547181,62.3530277506468,78.2220704626242,15.8690427119774,1,12.109695643786,0.51342318925547
"216",16,10,0.5,62.1771362783225,75.0892872231972,1,12.9121509448748,63.7021798414528,77.392562092387,1,13.6903822509342,70.0443442534317,62.6429437103844,77.7105776096064,15.067633899222,1,13.772252161539,0.380602189266279
"217",17,10,0.5,55.3518380505444,71.3424614578412,1,15.9906234072968,57.0456381506204,72.9315764261391,1,15.8859382755187,70.8866722904474,63.0724497594154,78.5505519059371,15.4781021465217,1,12.2079979155217,0.351666584925835
"218",18,10,0.5,58.9862375874028,75.1555344870817,1,16.1692968996789,59.1158888165419,74.7906830974831,1,15.6747942809412,70.9312746845735,63.4948035555272,79.237995001326,15.7431914457988,1,12.3022037613616,0.560347217807525
"219",19,10,0.5,59.1003360100264,79.5466847585671,1,20.4463487485406,60.0656095655288,81.8487380454265,1,21.7831284798977,69.202944420894,62.9086694699913,76.4343923586989,13.5257228887076,1,10.7659740569592,0.520096370444797
"220",20,10,0.5,56.8802999658906,76.301573319321,1,19.4212733534304,56.3285673156633,76.7764343244083,1,20.447867008745,70.1473164191567,63.5438156731164,78.4227024804865,14.8788868073701,1,11.9897467214583,0.398925070940486
"221",21,10,0.5,60.4225611669685,77.7748707996047,1,17.3523096326361,60.8064623606475,78.1384698081197,1,17.3320074474722,70.9545198461067,64.0061084819332,80.0860863340774,16.0799778521441,1,14.1048813952216,0.389682182372694
"222",22,10,0.5,60.1642226554001,78.8090492718484,1,18.6448266164483,60.334529721184,79.9582124010257,1,19.6236826798417,70.5348616642256,62.1041127478846,78.0813778565781,15.9772651086935,1,14.3282153954609,0.278970332143759
"223",23,10,0.5,56.0611589793443,64.1687279827056,0,8.10756900336133,54.9621483619607,63.9050507724681,0,8.94290241050747,71.5534194818192,61.9336397549301,82.1733247607514,20.2396850058214,1,14.6803189615062,0.402343033414399
"224",24,10,0.5,55.0313027981398,74.8124067156634,1,19.7811039175236,56.8963048735879,78.8127384590646,1,21.9164335854767,70.7898062825734,63.2278034740173,77.3515639969086,14.1237605228912,1,12.8104085485048,0.552580721043543
"225",25,10,0.5,64.4204929387113,86.7303735221672,1,22.309880583456,66.0313414187342,87.9103998703542,1,21.87905845162,69.580839297966,63.4187606962788,75.7015524892666,12.2827917929878,1,11.6407769283337,0.549550413024138
"226",26,10,0.5,67.0411779077145,85.6436228878299,1,18.6024449801154,64.8812290210769,84.1219101674374,1,19.2406811463605,70.5818166980176,62.253628487357,80.14335097085,17.889722483493,1,16.1212400805736,0.211411856372779
"227",27,10,0.5,68.9663789595501,82.1372940929857,0,13.1709151334356,70.3515095507725,84.0496169304471,0,13.6981073796746,70.4484222006164,64.3028202248861,76.8377224477036,12.5349022228176,1,11.9720965078433,0.232430256287634
"228",28,10,0.5,55.1981145599545,68.5706858965243,1,13.3725713365698,55.1354815621407,67.9586527887861,1,12.8231712266454,69.7398081957563,63.6962378560017,78.0135752487466,14.3173373927449,1,10.9824550479218,0.588318683302528
