,trial,mean1,mean2,median.sampsmu1,lb.mu1,ub.mu1,width.mu1,cover.mu1,median.samps.mu2,lb.mu2,ub.mu2,width.mu2,cover.mu2,perc.correct,lb.tdist,ub.tdist,width.tdist,cover.tdist.mean1,cover.tdist.mean2,lb.bca.exp,ub.bca.exp,width.bca.exp,cover.bca.exp.mean1,cover.bca.exp.mean2
211,11,25,75,29.09125883,23.75768676,34.89749081,11.13980405,1,82.0675364,74.9883653,88.31948573,13.33112042,0,0.96,35.33433817,62.26796253,26.93362435,0,0,34.57616039,61.60803276,27.03187237,0,0
212,12,25,75,38.34750277,32.2565734,46.0082533,13.7516799,0,78.86020873,71.96521021,84.60559966,12.64038944,1,0.92,33.91796417,54.28486666,20.36690248,0,0,34.58750588,54.34819978,19.7606939,0,0
213,13,25,75,32.38134091,28.05147032,37.21510019,9.163629863,0,76.12279416,71.37472087,80.66830829,9.293587417,1,1,33.96397004,57.17517342,23.21120338,0,0,33.81638324,56.41337851,22.59699527,0,0
214,14,25,75,42.87571077,35.11379789,53.22228281,18.10848492,0,78.28865571,72.18408671,84.07282686,11.88874015,1,0.92,42.2718399,63.26526751,20.99342761,0,0,41.77192828,62.13628066,20.36435238,0,0
215,15,25,75,31.66387974,27.56195924,35.99697088,8.435011631,0,79.82369382,74.5644692,84.95067499,10.38620579,1,1,34.91651883,59.77118712,24.85466829,0,0,36.03792903,59.97854576,23.94061673,0,0
216,16,25,75,41.13660026,34.34586421,50.5140748,16.16821059,0,79.47836779,75.19350295,83.23260002,8.039097069,0,1,46.98210173,69.36967878,22.38757705,0,0,45.38229081,68.36536749,22.98307668,0,0
217,17,25,75,39.31043699,33.49400388,47.13079052,13.63678664,0,76.70087358,71.33836829,82.82972188,11.49135359,1,0.92,38.92244687,57.57051724,18.64807037,0,0,39.44118911,57.640214,18.19902488,0,0
218,18,25,75,30.45135246,26.10566498,35.56306266,9.457397684,0,79.02770728,74.21883887,83.63241034,9.41357147,1,0.96,35.21683844,59.35455085,24.13771241,0,0,36.02194613,60.61350975,24.59156361,0,0
219,19,25,75,47.59936259,39.27511782,56.32320598,17.04808816,0,79.31895751,72.33239634,84.62595846,12.29356212,1,0.72,47.5128477,68.16300421,20.65015651,0,0,46.34283526,66.82376042,20.48092516,0,0
220,20,25,75,42.80272629,34.81640129,50.04283078,15.22642948,0,80.9422316,74.41160435,86.07282353,11.66121918,1,0.88,42.19632306,65.46267754,23.26635448,0,0,41.62497655,64.79109579,23.16611924,0,0
221,21,25,75,37.15183533,31.44045744,43.01383498,11.57337753,0,78.62984712,70.81772094,84.59272724,13.7750063,1,0.96,39.65714644,60.76227914,21.1051327,0,0,39.83288095,59.51451842,19.68163747,0,0
