,trial,mean1,mean2,median.sampsmu1,lb.mu1,ub.mu1,width.mu1,cover.mu1,median.samps.mu2,lb.mu2,ub.mu2,width.mu2,cover.mu2,perc.correct,lb.tdist,ub.tdist,width.tdist,cover.tdist.mean1,cover.tdist.mean2,lb.bca.exp,ub.bca.exp,width.bca.exp,cover.bca.exp.mean1,cover.bca.exp.mean2,muprior1,muprior2
85,85,40,70,56.40685663,49.15215218,62.59655987,13.44440769,0,77.29880104,70.64809178,84.48525244,13.83716066,0,0.6,63.31407139,73.84638287,10.53231148,0,1,63.05855155,73.89839747,10.83984592,0,1,50,80
86,86,40,70,58.65140827,51.40475057,64.90132137,13.4965708,0,75.68537459,69.03781997,81.76755508,12.72973511,1,0.52,63.87326561,72.92754054,9.054274925,0,1,64.04089311,73.2468678,9.20597469,0,1,50,80
87,87,40,70,55.68346713,48.7644402,61.457517,12.6930768,0,76.59532008,69.92080178,83.03683295,13.11603117,1,0.64,62.09497955,72.63352577,10.53854622,0,1,62.19615157,72.91885578,10.72270421,0,1,50,80
88,88,40,70,55.06670171,49.65965086,61.2237554,11.56410454,0,73.0523509,67.01988073,79.50310731,12.48322658,1,0.68,60.23654875,70.11749364,9.880944893,0,1,59.16303521,69.68826508,10.52522987,0,0,50,80
89,89,40,70,56.39976713,48.80947112,63.39169972,14.5822286,0,77.02935345,71.52238533,84.43484691,12.91246158,0,0.68,64.57117317,74.85585871,10.28468553,0,1,64.03717344,74.32577623,10.28860279,0,1,50,80
90,90,40,70,57.32841064,51.36794638,63.08310959,11.71516321,0,75.04222637,68.97142572,81.52030511,12.5488794,1,0.6,62.81994357,72.37634811,9.556404536,0,1,62.70331084,72.16431065,9.460999812,0,1,50,80
91,91,40,70,60.07347605,50.8494956,66.28469571,15.43520011,0,75.36697569,69.71522884,81.9480859,12.23285705,1,0.76,67.82831632,75.57807375,7.749757433,0,1,67.18052931,75.15169101,7.971161695,0,1,50,80
92,92,40,70,54.65940395,47.49219243,61.25411154,13.76191911,0,76.57594777,70.94451367,83.378455,12.43394132,0,0.6,62.97983666,73.90710676,10.9272701,0,1,62.97745988,73.63575987,10.6583,0,1,50,80
93,93,40,70,56.24361876,49.71859123,63.29961288,13.58102165,0,81.05273716,75.20906543,86.35473947,11.14567405,0,0.64,67.64263959,79.50003937,11.85739978,0,1,66.73772178,78.78824309,12.05052131,0,1,50,80
94,94,40,70,50.95701454,43.73489862,57.79926988,14.06437126,0,78.37773416,72.8855984,85.04312936,12.15753096,0,0.8,65.89258757,78.31923994,12.42665237,0,1,63.24455884,76.86512725,13.62056841,0,1,50,80
95,95,40,70,53.44025359,45.7284259,60.43372885,14.70530295,0,75.325737,69.4290211,81.64467138,12.21565028,1,0.64,60.82059632,72.32657282,11.5059765,0,1,60.30764198,71.97555669,11.66791471,0,1,50,80
96,96,40,70,59.22619923,50.19970108,67.14197829,16.94227721,0,77.08438018,70.5403242,84.22253523,13.68221103,0,0.6,67.00386872,76.27750129,9.273632573,0,1,66.5546358,76.13173311,9.577097313,0,1,50,80
97,97,40,70,58.9377762,52.05608182,65.47825421,13.42217239,0,76.28508156,70.38475768,83.80608038,13.4213227,0,0.56,64.7864678,74.21386631,9.427398508,0,1,65.23002252,74.50524069,9.275218178,0,1,50,80
98,98,40,70,54.49592171,48.69036525,61.12368269,12.43331745,0,76.96962559,71.6952419,83.19129912,11.49605722,0,0.64,63.13984568,74.18957507,11.04972938,0,1,62.06404515,73.26625663,11.20221149,0,1,50,80
99,99,40,70,55.10819278,45.66097217,62.85637987,17.19540769,0,76.27296835,70.24529826,83.22006114,12.97476288,0,0.68,64.08803267,74.83699845,10.74896578,0,1,63.66376488,74.36635376,10.70258887,0,1,50,80
100,100,40,70,53.44549069,46.85692293,60.5324919,13.67556896,0,76.71090702,71.95488024,83.62074358,11.66586334,0,0.64,61.01535548,72.94280841,11.92745294,0,1,60.9207407,72.50239174,11.58165103,0,1,50,80
101,1,40,70,43.26212302,33.70723656,54.41763139,20.71039483,1,73.56784864,68.00533925,79.5133364,11.50799716,1,0.88,62.99696703,73.43544,10.43847297,0,1,61.27762306,72.37323513,11.09561207,0,1,40,90
102,2,40,70,51.12690382,42.2979099,58.63009406,16.33218416,0,85.22962864,78.26063351,93.41085633,15.15022282,0,0.64,69.62582968,80.55427002,10.92844035,0,1,69.49840753,80.3236942,10.82528667,0,1,40,90
103,3,40,70,49.08176919,39.24921387,57.40647828,18.15726441,1,75.10545361,68.33364825,84.37908183,16.04543359,1,0.68,61.63759196,71.40184244,9.764250475,0,1,61.11834576,70.80619892,9.687853156,0,1,40,90
104,4,40,70,50.3124797,40.66861814,58.87237775,18.20375961,0,77.25948612,70.79827944,85.92900371,15.13072428,0,0.76,65.88236823,74.93749966,9.055131426,0,1,65.3222136,74.75099978,9.428786177,0,1,40,90
105,5,40,70,45.88588687,38.79712862,54.60957406,15.81244544,1,79.10918164,72.95796986,86.21442663,13.25645677,0,0.8,65.71740612,76.99976591,11.28235979,0,1,65.07976312,76.08972546,11.00996234,0,1,40,90
106,6,40,70,46.89344356,33.86943017,58.03407836,24.16464818,1,74.15706205,67.91751901,85.29021331,17.37269429,1,0.8,64.74738015,73.76165797,9.014277823,0,1,64.18876471,73.3843845,9.195619797,0,1,40,90
107,7,40,70,49.26447894,39.56901522,59.57930905,20.01029383,1,81.01527968,74.67594775,90.09322871,15.41728096,0,0.8,68.31542633,78.63859927,10.32317294,0,1,68.14635969,78.6513072,10.5049475,0,1,40,90
108,8,40,70,50.59349365,42.10185443,58.1558959,16.05404147,0,78.06388818,70.68765095,90.80059508,20.11294412,0,0.64,62.41065674,72.8375539,10.42689715,0,1,62.57125142,73.08782126,10.51656984,0,1,40,90
109,9,40,70,51.7651598,40.89426812,61.17163385,20.27736573,0,75.89909628,70.09684411,83.78233655,13.68549244,0,0.8,67.65839668,74.78278742,7.124390744,0,1,68.09668821,75.10953372,7.012845513,0,1,40,90
110,10,40,70,45.84935311,38.03660959,52.7173246,14.68071501,1,77.64954372,70.03295953,88.59929933,18.5663398,0,0.56,55.09344594,68.37222917,13.27878323,0,0,55.0741697,68.03510639,12.96093669,0,0,40,90
111,11,40,70,45.44603732,37.16924502,52.74529519,15.57605017,1,75.09559718,69.06390638,84.25770692,15.19380055,1,0.8,60.65928288,72.3194034,11.66012051,0,1,59.61653515,71.84416375,12.22762861,0,1,40,90
112,12,40,70,50.49480218,36.83104721,59.50943073,22.67838352,1,73.55351126,67.37603269,80.40199931,13.02596662,1,0.8,64.76324935,72.64970321,7.886453854,0,1,64.22396225,72.13313445,7.909172201,0,1,40,90
113,13,40,70,48.17826736,40.53878956,55.95282139,15.41403183,0,83.28443029,76.69658785,90.53301098,13.83642313,0,0.72,67.63727484,78.88053994,11.2432651,0,1,67.28829093,78.32361507,11.03532414,0,1,40,90
114,14,40,70,45.23382873,36.46394947,54.37463741,17.91068794,1,79.48567973,72.69054355,87.50452529,14.81398174,0,0.72,64.02333848,76.22817153,12.20483305,0,1,63.7589976,75.88163587,12.12263827,0,1,40,90
115,15,40,70,48.27833776,38.87764691,56.08685051,17.2092036,1,82.57301837,75.43370658,91.44405783,16.01035125,0,0.68,64.35240177,76.76003284,12.40763107,0,1,63.63178754,76.2450003,12.61321276,0,1,40,90
116,16,40,70,45.97730059,36.1780346,56.23965656,20.06162196,1,74.02042969,68.16356088,81.91175788,13.748197,1,0.8,63.30891679,73.28595089,9.9770341,0,1,61.59631409,72.25853146,10.66221737,0,1,40,90
117,17,40,70,46.8408861,36.27575588,56.46487679,20.18912091,1,76.01509095,70.72959769,84.6269751,13.89737741,0,0.84,65.25508403,74.44348812,9.188404092,0,1,64.76647837,73.90070975,9.134231376,0,1,40,90
