,trial,N.pop,skew,lb.tdist,ub.tdist,cover.tdist,width.tdist,lb.bca.exp,ub.bca.exp,cover.bca.exp,width.bca.exp,lb.bayes.sdprior5,ub.bayes.sdprior5,cover.bayes.sdprior5,width.bayes.sdprior5,lb.bayes.sdprior10,ub.bayes.sdprior10,cover.bayes.sdprior10,width.bayes.sdprior10,lb.bayes.sdprior15,ub.bayes.sdprior15,cover.bayes.sdprior15,width.bayes.sdprior15,lb.bayes.sdprior20,ub.bayes.sdprior20,cover.bayes.sdprior20,width.bayes.sdprior20,lb.bayes.sdprior25,ub.bayes.sdprior25,cover.bayes.sdprior25,width.bayes.sdprior25,lb.bayes.sdprior30,ub.bayes.sdprior30,cover.bayes.sdprior30,width.bayes.sdprior30,muprior
224,24,10,0,59.76242079,79.14282229,1,19.38040151,59.89835867,79.24031488,1,19.34195621,65.7084198,74.3540938,1,8.645674003,64.50901997,76.0121868,1,11.50316683,64.62261619,77.33702297,1,12.71440678,64.16862398,78.64352649,1,14.47490251,61.16955753,76.76638632,1,15.59682879,60.80450776,78.93772823,1,18.13322047,70
225,25,10,0,62.68184737,75.89736886,1,13.21552149,61.53783965,75.39019922,1,13.85235957,66.06213684,73.45632878,1,7.394191938,65.18531257,73.71538761,1,8.530075043,65.77313482,74.62784356,1,8.854708739,64.23272025,75.46461437,1,11.23189412,63.18889213,75.79676729,1,12.60787516,63.23242019,75.00582027,1,11.77340008,70
226,26,10,0,53.9103624,74.80082496,1,20.89046256,55.01300301,76.14860446,1,21.13560145,65.15482046,73.18384852,1,8.029028051,63.40666958,73.66482378,1,10.2581542,62.10349387,75.07740424,1,12.97391038,61.30186125,74.44248837,1,13.14062713,60.30553253,74.70801932,1,14.40248679,59.30078486,74.27175273,1,14.97096787,70
227,27,10,0,60.80566525,83.60720987,1,22.80154461,57.86302625,81.36629682,1,23.50327057,66.69756082,74.47838203,1,7.780821211,65.5664302,76.40481736,1,10.83838715,66.47144405,77.2400111,1,10.76856704,65.50303178,77.45273446,1,11.94970269,64.11327956,77.90798651,1,13.79470695,65.24029364,79.66130938,1,14.42101574,70
228,28,10,0,61.5325532,75.85013736,1,14.31758416,63.08258683,77.38700578,1,14.30441895,65.96418441,73.11501513,1,7.150830729,65.19344587,73.78618741,1,8.592741542,64.63555948,73.41208524,1,8.776525761,63.78781811,74.02252094,1,10.23470283,64.2302837,74.11671195,1,9.886428248,64.00024719,74.61809805,1,10.61785086,70
229,29,10,0,68.04612511,81.22327878,0,13.17715367,69.27763599,82.67929015,0,13.40165416,67.24130516,74.88717751,1,7.645872348,67.04200372,77.02758907,1,9.985585356,67.15676571,77.66353013,1,10.50676442,65.8111352,78.49421249,1,12.68307729,65.53851379,80.15673835,1,14.61822456,66.23659695,80.42082343,1,14.18422647,70
230,30,10,0,53.68124189,71.54315224,1,17.86191035,53.18433912,71.76263512,1,18.57829601,64.05267159,72.24453983,1,8.191868233,62.52300807,72.91367876,1,10.39067069,60.47378953,72.40533921,1,11.93154968,58.62110383,73.63091809,1,15.00981426,59.29885079,72.56687349,1,13.2680227,59.33383381,73.5346339,1,14.20080009,70
231,31,10,0,53.18194754,77.63550628,1,24.45355874,54.26253042,78.0446658,1,23.78213538,65.57310686,74.06867819,1,8.495571325,64.16379644,76.17698378,1,12.01318735,62.62755009,76.35445077,1,13.72690068,62.23664335,77.00433832,1,14.76769496,61.62424604,76.67262817,1,15.04838213,62.54193297,80.05919232,1,17.51725936,70
232,32,10,0,54.98857539,76.36899119,1,21.38041581,52.92866804,73.16290676,1,20.23423872,66.06757435,74.81233759,1,8.744763249,64.25285782,75.96875388,1,11.71589606,63.31805783,76.76623848,1,13.44818065,61.23690772,78.71658972,1,17.479682,64.03579046,79.30823738,1,15.27244692,60.60083866,80.98325257,1,20.38241391,70
233,33,10,0,60.87697001,79.20656825,1,18.32959824,60.06349191,78.99436486,1,18.93087294,66.32195194,74.4830731,1,8.161121166,65.53264384,75.28299576,1,9.750351918,64.26679601,75.51606725,1,11.24927124,63.86077325,75.8107709,1,11.94999765,63.95785845,76.99063704,1,13.03277859,63.76121823,76.10828999,1,12.34707176,70
234,34,10,0,67.78919578,80.06583461,1,12.27663883,68.40299074,80.31200658,0,11.90901584,67.6981585,74.85418434,1,7.156025841,67.68345117,75.64982615,1,7.966374985,67.31045074,76.77025374,1,9.459803003,67.56137716,77.82148543,1,10.26010827,67.86012545,77.88983829,0,10.02971283,67.2147364,79.97917701,1,12.7644406,70
235,35,10,0,52.39997346,71.42399047,1,19.02401701,51.19874177,70.81896152,1,19.62021975,64.60638797,72.63118319,1,8.024795218,62.16627261,72.32927842,1,10.16300581,61.24592119,72.61214468,1,11.36622349,59.59363257,71.57348406,1,11.97985149,58.45660706,71.8052878,1,13.34868074,58.15000418,71.61649728,1,13.4664931,70
236,36,10,0,68.03124394,81.89609084,0,13.8648469,64.98245541,81.2211576,1,16.23870219,68.56887383,75.17515401,0,6.606280184,69.01105178,76.33142501,0,7.320373232,68.15558646,77.88245018,0,9.72686372,69.11202503,77.68935755,0,8.577332517,68.31773274,78.80137595,0,10.48364321,69.17861305,78.58311581,0,9.404502764,70
237,37,10,0,63.7106253,82.49408513,1,18.78345982,64.61781521,82.77414129,1,18.15632609,67.04652619,74.43027478,1,7.38374859,66.78576259,76.20510723,1,9.419344632,65.32664525,77.07877925,1,11.75213399,63.94327432,77.44466166,1,13.50138734,64.86736555,77.85673719,1,12.98937164,65.43423758,79.19386798,1,13.7596304,70
238,38,10,0,60.07638062,77.7935394,1,17.71715878,59.89369276,77.14053126,1,17.24683851,65.45113661,73.30421013,1,7.853073517,64.60913494,74.26053551,1,9.651400564,64.69071413,75.70899838,1,11.01828425,63.10126795,75.58090553,1,12.47963758,64.14533807,76.01461259,1,11.86927453,63.35151545,75.55956819,1,12.20805274,70
239,39,10,0,61.05421673,77.34839831,1,16.29418158,61.25968232,77.3719847,1,16.11230238,65.87949656,74.29556025,1,8.416063688,65.34481314,75.3709877,1,10.02617456,64.03412263,75.40056881,1,11.36644619,63.76638481,76.08692408,1,12.32053928,63.99566624,76.75793151,1,12.76226527,63.93274073,77.30302138,1,13.37028065,70
240,40,10,0,50.62658452,75.06227601,1,24.4356915,49.44391769,73.95505677,1,24.51113908,64.56089875,72.90503499,1,8.344136234,63.03531197,74.28537738,1,11.25006541,60.5074717,73.52453686,1,13.01706516,60.08895443,73.89208981,1,13.80313539,60.32385946,75.90844393,1,15.58458446,59.15820638,75.61125113,1,16.45304475,70
241,41,10,0,54.04377949,74.01152202,1,19.96774253,50.8516689,71.44071655,1,20.58904766,64.8292927,72.09824265,1,7.268949956,62.51773261,72.40749304,1,9.889760422,61.2950753,71.92988992,1,10.63481462,61.40681929,72.83743591,1,11.43061662,60.13452551,71.66488512,1,11.53035961,58.44450057,72.40224234,1,13.95774176,70
242,42,10,0,67.40683905,87.06100511,1,19.65416606,66.79995891,86.54927554,1,19.74931663,67.56954917,75.41953432,1,7.849985154,67.4313519,77.8333813,1,10.40202939,68.28930421,79.09657928,0,10.80727508,68.02173386,79.84075996,0,11.8190261,67.89859822,81.71696221,0,13.81836399,67.85983522,81.09589151,0,13.23605628,70
243,43,10,0,50.22326623,74.92884739,1,24.70558116,45.61784366,72.11165114,1,26.49380749,65.01466492,72.80313095,1,7.788466034,61.89496921,74.36672712,1,12.47175791,59.93844977,73.84783408,1,13.90938431,59.77503474,74.09956993,1,14.32453519,60.02777042,75.8866739,1,15.85890348,60.0141274,73.87128131,1,13.85715391,70
244,44,10,0,59.45981019,75.86332971,1,16.40351953,57.44081476,74.7026212,1,17.26180644,65.63504938,73.11823816,1,7.483188774,64.60089424,73.89317803,1,9.292283782,64.07337162,73.34741288,1,9.274041264,62.09861765,74.02524784,1,11.92663019,62.20098484,73.68487735,1,11.48389251,63.00345776,75.19711472,1,12.19365695,70
245,45,10,0,59.57257803,72.38684749,1,12.81426946,60.02651741,72.93007058,1,12.90355317,64.94593466,72.07856425,1,7.132629591,63.65032733,71.99205241,1,8.341725074,62.89696704,72.28575015,1,9.388783111,62.69432513,72.73342466,1,10.03909953,61.20112267,72.98298003,1,11.78185736,61.76766774,72.88069882,1,11.11303108,70
246,46,10,0,55.07275165,74.10662485,1,19.0338732,53.72080886,73.27514515,1,19.55433629,64.80409496,72.81599587,1,8.011900909,63.18344234,73.22213328,1,10.03869094,61.93318364,73.63100482,1,11.69782118,61.29210468,73.25753333,1,11.96542865,59.23498122,72.83736353,1,13.60238231,59.55090258,72.37401943,1,12.82311684,70
247,47,10,0,62.24527086,80.21427458,1,17.96900372,63.01068304,80.41197952,1,17.40129648,66.44894568,74.32596815,1,7.877022472,66.0577412,76.39883934,1,10.34109814,65.35650106,77.40050188,1,12.04400082,64.3477198,77.27918606,1,12.93146626,63.57992119,78.18628557,1,14.60636438,64.89903181,78.27175192,1,13.37272011,70
248,48,10,0,48.61655843,75.45051221,1,26.83395378,44.8413412,73.3875201,1,28.5461789,64.53023216,73.60089665,1,9.070664498,62.8126582,73.50181238,1,10.68915418,60.6548857,73.57533737,1,12.92045167,59.78459575,74.65809963,1,14.87350387,59.95461214,74.96827161,1,15.01365947,60.12970112,75.39606578,1,15.26636466,70
249,49,10,0,66.08932234,75.81418072,1,9.72485838,64.91361733,75.1188039,1,10.20518657,66.04645159,74.59089628,1,8.544444698,64.87497785,77.16174155,1,12.28676369,63.65244446,78.73059855,1,15.07815409,62.66482096,79.0052752,1,16.34045424,64.95629804,81.17826822,1,16.22197018,59.41413289,81.20616409,1,21.79203121,70
250,50,10,0,55.33762221,78.20464495,1,22.86702274,55.77917645,77.79565963,1,22.01648318,65.36578863,74.15094529,1,8.785156659,63.56601434,75.51409533,1,11.94808099,63.32687415,77.12068598,1,13.79381184,62.67547927,77.59426313,1,14.91878386,61.06490161,78.02987398,1,16.96497237,61.3055444,79.16505365,1,17.85950925,70
251,51,10,0,61.77128818,73.70164066,1,11.93035248,61.56526687,73.51631728,1,11.95105041,65.05805197,72.51993904,1,7.461887075,63.86969162,72.53175578,1,8.662064159,63.52206818,72.74755879,1,9.225490611,63.80833621,73.48627933,1,9.67794312,63.44142601,73.70161527,1,10.26018926,63.30542813,74.00009322,1,10.69466509,70
252,52,10,0,52.01835937,72.46616083,1,20.44780146,54.01929971,75.87891593,1,21.85961622,64.55078457,72.62485977,1,8.074075203,62.99720018,72.72731391,1,9.730113724,61.23667927,74.8527866,1,13.61610733,60.60808155,73.73663381,1,13.12855226,58.81327318,72.14861233,1,13.33533915,57.0874142,73.0527218,1,15.9653076,70
253,53,10,0,57.88303804,77.39928464,1,19.5162466,56.13875336,76.14883797,1,20.0100846,65.25591975,73.74453091,1,8.48861116,63.8077312,73.72863745,1,9.920906255,63.89166077,75.24569055,1,11.35402977,62.11808722,75.96218048,1,13.84409326,62.38295523,75.00896713,1,12.62601189,62.25283453,74.84300785,1,12.59017332,70
