"","trial","N.pop","skew","lb.tdist","ub.tdist","cover.tdist","width.tdist","lb.bca.exp","ub.bca.exp","cover.bca.exp","width.bca.exp","lb.bayes.sdprior5","ub.bayes.sdprior5","cover.bayes.sdprior5","width.bayes.sdprior5"
"131",31,10,-0.5,54.8200158681546,81.8060396379462,1,26.9860237697915,48.6805279534371,78.3704164830688,1,29.6898885296317,58.2285912615267,78.738454870835,1,20.5098636093083
"132",32,10,-0.5,57.0971830321793,80.4420977251457,1,23.3449146929664,56.5167342163693,79.8259244867526,1,23.3091902703833,59.697117032183,78.1818512377059,1,18.484734205523
"133",33,10,-0.5,63.2922300519638,75.325947888137,1,12.0337178361733,62.0179455354887,74.3653157598107,1,12.347370224322,64.0211111137961,74.4430246117351,1,10.4219134979391
"134",34,10,-0.5,55.531606233925,77.6050144739684,1,22.0734082400434,55.0636609601753,76.249514504449,1,21.1858535442738,58.3120487354385,75.8120820526582,1,17.5000333172197
"135",35,10,-0.5,54.1937469475583,75.04863151464,1,20.8548845670818,52.5187090222777,74.1723068067379,1,21.6535977844602,56.8968305861776,73.5176123114162,1,16.6207817252386
"136",36,10,-0.5,57.9096092316724,75.2927926968814,1,17.3831834652089,53.260782737955,72.3121544913892,1,19.0513717534342,59.6378891638539,74.3296072342012,1,14.6917180703473
"137",37,10,-0.5,65.546207538568,81.3189306763231,1,15.7727231377552,65.9114852493989,81.520102720449,1,15.6086174710501,66.8641621479114,80.0826613380972,1,13.2184991901857
"138",38,10,-0.5,60.1532882992101,71.881230120698,1,11.7279418214879,60.945776093982,72.1734891180625,1,11.2277130240805,60.9118518071168,71.5571164457717,1,10.6452646386548
"139",39,10,-0.5,56.8700799952987,76.5312061603347,1,19.661126165036,56.055726790634,75.6548175719255,1,19.5990907812915,59.0717021501832,75.0981387008071,1,16.0264365506239
"140",40,10,-0.5,66.7173163840003,81.0280011238987,1,14.3106847398983,63.4989406976849,79.5408506042464,1,16.0419099065616,68.0195214957316,79.3223088790821,0,11.3027873833506
"141",41,10,-0.5,63.7044437871304,71.6920552935421,1,7.98761150641172,63.762554788504,71.8383214865876,1,8.0757666980836,64.2828969111085,71.0723393301337,1,6.78944241902521
"142",42,10,-0.5,59.8836305011125,84.2283883586509,1,24.3447578575384,55.2811886601471,80.835915356025,1,25.5547266958778,62.5435602651859,80.7475497585866,1,18.2039894934007
"143",43,10,-0.5,63.7648791200943,75.9587297609725,1,12.1938506408782,63.1008263393935,75.0240757822535,1,11.92324944286,64.5426420385147,75.2567913064204,1,10.7141492679057
"144",44,10,-0.5,58.6934916997263,76.8366535285068,1,18.1431618287805,58.0308238277976,76.2651304589929,1,18.2343066311953,60.5831726340622,75.4845486408578,1,14.9013760067956
"145",45,10,-0.5,57.8057609941658,73.0320706516643,1,15.2263096574985,58.4431729074965,73.377508196834,1,14.9343352893374,59.3097413575572,72.066403388863,1,12.7566620313058
"146",46,10,-0.5,62.259731541191,74.6160076933411,1,12.3562761521502,63.2837413703325,76.0864782505089,1,12.8027368801763,63.4049824701239,73.6286898052797,1,10.2237073351557
"147",47,10,-0.5,62.0267645567365,74.1073004629921,1,12.0805359062556,62.7678785135315,74.8172989260436,1,12.0494204125121,62.9950377269504,73.1253483613386,1,10.1303106343882
"148",48,10,-0.5,62.5273839932247,79.0305203709395,1,16.5031363777148,63.5867487782228,79.7743620604147,1,16.1876132821919,64.1373621926428,77.3051712431935,1,13.1678090505507
"149",49,10,-0.5,61.7580973862845,79.7048583965175,1,17.946761010233,63.9567502425945,85.6550612884458,1,21.6983110458514,63.4069475209322,78.5388834193985,1,15.1319358984663
"150",50,10,-0.5,53.6341908364906,76.3824552687272,1,22.7482644322366,54.0686883813648,76.2937982894126,1,22.2251099080479,56.4047483640316,74.2551775902957,1,17.8504292262641
"151",51,10,-0.5,60.209159718545,75.6672272803643,1,15.4580675618192,61.9515093821373,76.6366686806353,1,14.685159298498,61.904748354522,74.3691530785104,1,12.4644047239884
"152",52,10,-0.5,70.0916228552573,81.9177900007054,0,11.8261671454482,70.1473331631639,82.0183979874769,0,11.871064824313,70.8602776396731,80.6242529358188,0,9.7639752961457
"153",53,10,-0.5,58.5697656159974,76.0849007007187,1,17.5151350847212,55.9064712025613,73.8944770893564,1,17.9880058867951,60.4806193228363,74.3111730122145,1,13.8305536893783
"154",54,10,-0.5,53.1879324756591,73.4484019405731,1,20.260469464914,49.6229382011668,71.1581278028578,1,21.535189601691,55.9333954142673,72.1070656239713,1,16.173670209704
"155",55,10,-0.5,55.4568136483681,74.7826491002563,1,19.3258354518882,51.5331839023631,72.6084739481668,1,21.0752900458037,57.4590839199045,73.5889529263696,1,16.1298690064651
"156",56,10,-0.5,64.8038023434071,76.0132836062983,1,11.2094812628912,63.8181229880611,75.6699447945748,1,11.8518218065137,65.6883267085501,75.3560998427389,1,9.66777313418878
"157",57,10,-0.5,52.4911425812347,70.7233917092822,1,18.2322491280475,50.5752039351701,70.1597053236244,1,19.5845013884543,54.9988691669191,69.0536427462364,1,14.0547735793173
"158",58,10,-0.5,62.4743373981267,79.1361713932675,1,16.6618339951408,60.2829677274737,77.8537564460718,1,17.570788718598,63.6548165443131,77.7972295897601,1,14.142413045447
"159",59,10,-0.5,45.8974940872646,64.3782153510873,0,18.4807212638227,46.8732874419678,66.104735867872,0,19.2314484259041,48.6515040672893,63.7626662719114,0,15.1111622046221
"160",60,10,-0.5,48.6672933974726,73.1062492399583,1,24.4389558424857,49.1724161596981,72.130732109619,1,22.9583159499209,51.7754135189181,70.8187626986193,1,19.0433491797012
"161",61,10,-0.5,69.5222469718687,80.8840627931743,0,11.3618158213056,68.3378191902302,80.4036530198996,0,12.0658338296695,70.162702265421,79.8975615605386,0,9.73485929511769
"162",62,10,-0.5,61.1889255651971,74.7563951501456,1,13.5674695849485,60.7045287568006,74.4178724198866,1,13.713343663086,62.1367722722981,73.7067844697335,1,11.5700121974353
